0.12	3.96	17.2155
2.95	2.35	16.1289
0.9	1.53	15.4153
0.04	0.98	13.2198
1.4	2.49	13.6479
1.2	2.4	14.6914
0.74	1.79	14.295
0.42	3.03	13.9629
2.86	0.99	12.7699
0.62	0.2	13.4001
1.33	3.74	13.4818
2.52	3.08	17.5799
0.68	2.72	14.4066
2.72	0.69	14.2731
1.81	0.57	13.2481
2.5	3.86	16.7151
2.62	0.79	14.9609
0.27	1.81	15.4977
3.71	1.58	14.9613
2.01	0.71	13.4934
0.67	2.15	16.6151
1.95	0.98	16.2736
2.27	1.53	14.6681
1.82	3.28	16.1202
1.77	1.35	14.2966
0.39	0.79	13.3538
0.37	3.35	17.8797
0.83	3.31	16.6305
3.26	3.79	17.1075
3.72	2.16	17.2861
2.86	1.49	14.5358
2.68	1.21	14.7233
0.71	0.05	12.3178
1.94	3.03	16.7753
0.03	1.27	15.0104
3.28	1.84	16.7667
3.11	0.65	14.4762
0.72	1.8	12.7309
3.45	3.12	15.7711
3.66	0.83	16.2418
2.45	0.42	13.2439
3.28	0.39	13.1654
2.78	0.22	12.1279
1.33	3.66	16.2291
3.33	0.03	13.8026
0.6	3.5	16.389
1.26	3.79	15.9265
2.82	1.71	13.9294
2.05	2.09	15.2703
3.31	1.98	16.1676
2.49	0.98	14.7343
2.9	0.19	13.8293
3.47	3.51	17.7069
2.87	1.6	16.0289
0.46	3.54	15.8019
3.76	2.16	16.9044
2.06	3.9	16.3698
3.98	1.48	16.1678
1.84	1.58	14.9562
3.16	3.16	17.2154
0.66	1.37	12.7461
0.35	2.31	14.7863
0.52	3.45	15.6788
1.3	3.48	16.5317
3.77	3.46	16.5434
0.64	0.74	14.2955
3.66	1.74	17.213
2.53	1.09	15.6928
1.31	1.32	16.0721
3.07	1.03	14.5817
1.66	3.47	17.1794
1.57	3.57	14.3267
3.9	0.19	14.4297
0.02	0.02	11.8206
3.35	2.86	16.0798
0.23	1.64	15.7641
0.41	0.65	12.2269
2.16	2.61	15.0235
1.51	1.69	14.376
2.86	0.72	14.9897
1.01	2.0	14.8576
4.0	2.45	14.8955
0.79	1.12	13.8711
0.97	0.57	12.2791
3.46	0.52	14.3958
3.36	2.08	13.8338
3.86	0.19	13.8912
0.95	2.78	15.5657
1.37	1.96	16.3422
0.28	3.24	16.0058
0.2	3.9	13.7491
1.38	2.36	16.1656
0.21	2.87	16.1083
3.46	2.04	16.2081
1.2	0.54	13.2234
2.2	0.26	13.593
1.4	1.77	14.4616
1.32	3.24	14.5769
0.84	1.88	13.8006
3.84	3.24	16.22
0.3	2.2	14.7843
3.61	1.85	16.3125
2.53	0.92	14.3555
2.28	0.47	14.003
1.17	2.16	13.9521
2.98	0.61	13.6987
1.14	3.06	15.6993
3.5	3.11	15.7584
2.19	3.23	16.6625
2.28	0.49	12.9427
1.35	2.9	16.8733
2.79	3.22	16.6191
3.75	0.27	14.0941
1.7	0.66	15.0668
0.83	2.41	14.9261
3.02	0.37	14.1161
2.02	0.27	11.7133
0.73	3.96	18.0299
0.8	0.8	14.4622
1.38	2.39	15.7748
1.31	1.49	13.4502
1.5	0.59	14.2735
2.75	3.02	17.2547
0.78	1.64	13.6965
2.41	3.03	14.6958
2.55	0.6	15.4195
1.88	3.59	15.5973
2.18	0.36	15.4806
2.91	1.18	14.4308
0.4	1.31	14.362
1.11	0.61	14.0455
2.58	2.87	16.8195
3.88	1.31	16.4769
1.02	2.42	15.0057
3.4	0.98	14.5366
2.39	1.74	16.1469
3.42	0.44	15.8747
3.16	2.96	15.774
0.26	3.86	18.0119
3.87	0.68	13.4834
3.48	3.61	18.1415
1.64	0.83	12.8307
0.5	0.14	12.5816
0.7	0.32	14.5499
0.93	3.61	16.0582
2.53	1.26	15.7489
3.24	3.35	15.872
2.01	1.46	13.1166
0.15	1.63	13.9191
1.99	0.36	15.0024
0.12	3.7	14.9549
2.19	1.06	14.4699
3.24	0.0	12.7934
2.87	4.0	15.4325
0.25	1.97	15.0976
1.39	0.19	13.4504
3.93	0.83	15.8313
2.01	0.71	14.1803
0.22	2.05	13.5469
2.9	1.68	14.9149
1.66	2.17	16.1438
0.92	2.12	16.0402
3.84	3.81	16.4071
3.31	1.29	15.3562
3.19	1.07	16.1708
0.88	3.03	15.3178
2.46	1.15	15.3658
1.46	3.5	15.8188
1.24	3.68	15.2762
1.71	1.29	15.8549
0.09	0.79	12.4353
0.04	3.29	15.1435
2.37	2.02	14.0846
2.71	0.2	15.3739
2.63	0.07	12.4086
3.14	1.81	14.5683
1.62	0.53	13.2873
1.6	2.26	13.6509
2.1	1.4	14.8498
2.67	3.4	16.5728
1.0	2.82	14.7904
0.12	3.35	16.8356
0.85	0.39	15.7049
3.01	3.49	15.3216
2.21	2.5	16.3129
0.48	1.57	13.858
0.38	1.49	16.7938
3.6	0.43	14.4012
1.31	1.9	14.9617
1.5	0.17	12.8536
0.96	0.03	12.0382
3.06	1.2	13.9954
0.42	1.25	15.2869
1.6	2.9	15.5213
3.07	0.8	14.4569
0.98	2.09	15.0282
1.54	2.08	15.1236
2.41	1.78	15.081
1.98	1.27	15.5435
0.15	2.16	12.8777
3.06	1.3	14.6701
2.35	3.51	16.9604
3.49	1.83	15.204
0.65	3.37	19.4202
0.92	2.94	15.8052
2.46	1.93	15.0893
2.51	1.23	13.3006
2.77	0.33	13.2945
3.72	1.32	15.0276
3.96	3.07	17.097
3.29	1.2	15.4225
1.94	3.94	14.249
1.6	3.81	16.6959
3.17	1.8	15.7761
2.42	2.26	15.9281
3.22	2.07	14.316
1.18	2.9	14.5729
1.14	2.34	15.4853
0.41	3.79	17.5798
3.19	3.13	16.364
0.57	1.79	13.9815
2.96	1.04	13.4879
3.84	1.26	15.0094
2.1	2.91	14.9288
1.99	0.85	13.6544
0.85	2.05	14.4251
2.5	2.76	16.8914
3.71	1.02	14.4744
0.09	3.44	15.3048
1.11	1.26	13.8768
0.94	0.24	13.395
2.24	0.07	12.0038
2.02	1.21	12.6933
3.06	1.88	15.5034
3.48	2.21	17.2607
3.39	1.67	14.0824
0.28	3.5	14.5239
1.38	2.49	15.9533
2.3	2.5	17.4743
1.63	1.63	13.6396
2.07	2.18	15.2068
1.55	2.44	15.9296
3.06	3.03	16.7738
3.66	1.0	14.0668
1.99	1.62	14.7778
2.54	3.85	15.4432
2.75	1.75	15.8549
1.8	2.59	16.9738
3.91	3.21	17.6359
0.32	2.39	15.0843
0.98	2.44	15.0756
0.52	3.27	16.2085
2.45	3.35	16.4499
0.4	3.01	17.1074
3.13	0.48	13.2631
3.6	3.56	17.8771
2.24	3.1	15.0972
1.41	3.01	16.1864
2.15	3.45	16.9733
0.75	2.4	15.0977
3.83	0.94	15.3567
2.46	2.29	16.2161
1.96	1.19	13.9104
0.49	0.4	13.8533
0.98	2.23	15.6297
0.17	2.81	17.0897
1.77	3.9	17.5334
3.87	3.2	16.2102
2.78	1.02	14.5101
1.76	1.76	15.581
0.1	0.76	14.87
0.29	1.36	14.0398
1.99	3.28	16.3877
0.82	0.76	14.4663
3.38	3.58	15.922
1.3	3.67	17.0412
3.86	0.95	13.8175
2.87	1.04	16.1873
0.86	2.8	16.3511
3.36	2.84	16.9972
1.2	2.53	16.1051
0.42	1.12	13.3735
3.46	3.57	17.6677
3.12	1.43	14.1872
1.64	0.65	14.6047
3.97	0.84	13.9771
3.85	3.61	18.3516
2.71	0.58	14.3084
3.14	3.91	18.3138
1.44	3.05	14.0441
3.14	3.29	15.3423
0.76	0.83	12.9622
3.54	2.06	14.4529
1.02	2.52	15.4776
0.94	0.32	15.1998
1.04	1.53	14.7199
3.07	3.31	15.5867
1.31	0.43	14.1067
3.72	2.14	16.3367
1.08	2.39	16.1123
3.51	1.34	14.3284
0.86	1.75	14.4981
2.83	2.95	17.7603
0.62	0.74	13.1303
0.44	2.3	15.4746
3.23	3.64	17.6643
0.64	3.55	15.1386
0.82	3.63	14.7167
1.51	3.95	15.7006
3.61	0.8	15.1903
3.97	3.63	17.1343
0.49	3.06	15.7967
3.15	2.24	15.3008
1.93	1.97	13.8159
1.74	3.53	17.0768
0.19	3.01	14.4407
2.17	3.54	19.2042
3.47	1.41	15.4159
0.17	1.45	13.3412
0.46	3.71	17.2438
1.3	3.77	17.6572
0.4	0.16	13.7804
2.01	1.07	14.5534
0.76	1.75	12.9366
0.68	0.12	13.0211
1.0	1.62	16.8049
2.22	2.99	15.0372
3.93	2.04	16.6163
2.37	3.03	15.9439
3.8	0.93	13.5063
3.19	2.51	18.2393
0.4	2.16	16.2032
3.22	3.17	16.1248
0.88	0.89	12.7721
3.54	0.83	14.261
2.98	2.36	16.7148
